tempo,lugar,setor,valor_x,QL_x,M_x,Kr,Ks,ICE,ICS,valor_y,QL_y,M_y,C,D,Co_r,Di_r,Co_s,Di_s,ICDC,ICUC
2022,22,1229,39463.369999999995,0.15331105892132854,0,92,3,-0.9543835776222616,0.45536483409647005,30454.04,0.08178888799981242,0,0,0,36,34,1,2,0.02857142857142857,-0.3333333333333333
2022,23,1229,1043378.8300000001,1.1984785607097062,1,145,3,0.19656801220447823,0.45536483409647005,10037292.370000001,9.8604888314612,1,1,0,74,52,1,2,0.1746031746031746,-0.3333333333333333
2022,24,1229,129212.78,0.3565736709074172,0,119,3,-0.42417850125818135,0.45536483409647005,126530.24,0.36739529506420954,0,0,0,66,45,1,2,0.1891891891891892,-0.3333333333333333
2022,26,1229,327523.5,0.3413274762844131,0,178,3,0.20141770687139868,0.45536483409647005,57530.64,0.062342452917501096,0,0,0,87,65,1,2,0.14473684210526316,-0.3333333333333333
2022,29,1229,224028.84,0.16407659674724112,0,185,3,-0.414412851921629,0.45536483409647005,174365.83000000002,0.10895528150541621,0,0,0,92,70,1,2,0.13580246913580246,-0.3333333333333333
2022,31,1229,4209420.47,1.366975459772176,1,245,3,0.4027053862241134,0.45536483409647005,2752562.18,0.6144517509391706,0,0,1,156,78,1,2,0.3333333333333333,-0.3333333333333333
2022,32,1229,138452.69,0.242916969315587,0,205,3,0.3206478808019373,0.45536483409647005,55622.549999999996,0.06491372159893136,0,0,0,110,70,1,2,0.2222222222222222,-0.3333333333333333
2022,35,1229,22624035.259999998,2.0291908558921254,1,398,3,2.527654633380877,0.45536483409647005,16734577.74,0.9834157003766459,0,0,1,294,99,1,2,0.4961832061068702,-0.3333333333333333
2022,41,1229,774749.78,0.3530112164743588,0,283,3,1.360404121589458,0.45536483409647005,5117125.16,1.2862405965878383,1,0,0,159,104,1,2,0.20912547528517111,-0.3333333333333333
2022,42,1229,1554730.3800000001,0.9117688061395386,0,268,3,1.6137367799271582,0.45536483409647005,6801427.819999999,2.031687454973414,1,0,0,170,86,1,2,0.328125,-0.3333333333333333
2022,43,1229,1317621.81,0.6343942121872868,0,248,3,1.4063703732174837,0.45536483409647005,9562829.19,2.879849028501668,1,0,0,178,59,1,2,0.5021097046413502,-0.3333333333333333
2022,51,1229,131835.6,0.19858442149453115,0,112,3,-0.8213564437208803,0.45536483409647005,85370.76999999999,0.055360504634807184,0,0,0,57,48,1,2,0.08571428571428572,-0.3333333333333333
2022,52,1229,428616.39,0.42029396891032406,0,197,3,-0.1672898435729361,0.45536483409647005,79071.12,0.05070948037059067,0,0,0,134,47,1,2,0.48066298342541436,-0.3333333333333333
2022,53,1229,239095.84,0.16369665245900505,0,61,3,0.8043240000436759,0.45536483409647005,24909.22,0.017581032237071435,0,0,0,28,21,1,2,0.14285714285714285,-0.3333333333333333
2022,31,1318,10762679.4,0.9066702330548179,0,245,2,0.4027053862241134,0.3925984959974785,5358.950000000001,8.056062372111209e-05,0,0,0,156,78,1,0,0.3333333333333333,1.0
2022,35,1318,112447532.23,2.616334698771608,1,398,2,2.527654633380877,0.3925984959974785,766397302.84,3.0329748853113236,1,1,0,294,99,1,0,0.4961832061068702,1.0
2022,41,1318,4123486.9699999997,0.4873962845953779,0,283,2,1.360404121589458,0.3925984959974785,68139.99,0.0011534285738302242,0,0,0,159,104,1,0,0.20912547528517111,1.0
2022,43,1318,330850.44,0.04132289105669826,0,248,2,1.4063703732174837,0.3925984959974785,572626.55,0.011613076053296508,0,0,0,178,59,1,0,0.5021097046413502,1.0
2022,26,1326,29422392.979999997,23.047532769739764,1,178,2,0.20141770687139868,-1.1244365436387933,215830878.15,34.86420830748705,1,1,0,87,65,2,0,0.14473684210526316,1.0
2022,29,1326,12274544.5,6.757184231549102,1,185,2,-0.414412851921629,-1.1244365436387933,118352266.68,11.02414799974101,1,1,0,92,70,2,0,0.13580246913580246,1.0
2022,31,1326,1267293.03,0.3093378920153537,0,245,2,0.4027053862241134,-1.1244365436387933,420870.96,0.014004936940232353,0,0,0,156,78,2,0,0.3333333333333333,1.0
2022,35,1326,1366443.08,0.09212172024371713,0,398,2,2.527654633380877,-1.1244365436387933,253776.04,0.0022230772014869846,0,0,0,294,99,2,0,0.4961832061068702,1.0
2022,41,1326,129368.14,0.044306969191755724,0,283,2,1.360404121589458,-1.1244365436387933,305886.4,0.011461405840870902,0,0,0,159,104,2,0,0.20912547528517111,1.0
2022,42,1326,264705.32,0.116683643217182,0,268,2,1.6137367799271582,-1.1244365436387933,166526.19000000003,0.007415166390640206,0,0,0,170,86,2,0,0.328125,1.0
2022,43,1326,1283373.02,0.46445004379734717,0,248,2,1.4063703732174837,-1.1244365436387933,11191842.64,0.5024194771921507,0,0,0,178,59,2,0,0.5021097046413502,1.0
2022,15,1334,9581211.6,3.098092029895386,1,127,11,-0.865805404840025,-0.7909180099891575,52647852.29,2.296914362916365,1,1,0,65,42,6,5,0.21495327102803738,0.09090909090909091
2022,21,1334,788648.46,0.41198693582096596,0,98,11,-0.9747683997394654,-0.7909180099891575,6523739.600000001,0.48886143840102336,0,0,0,41,40,6,5,0.012345679012345678,0.09090909090909091
2022,22,1334,257106.8,0.25333941802503385,0,92,11,-0.9543835776222616,-0.7909180099891575,82971.55,0.007445968705918614,0,0,0,36,34,6,5,0.02857142857142857,0.09090909090909091
2022,23,1334,5540053.29,1.6140317830905797,1,145,11,0.19656801220447823,-0.7909180099891575,13194788.99,0.43313864533556024,0,0,1,74,52,6,5,0.1746031746031746,0.09090909090909091
